relevant_range,policy_id,reason,count,fraction
8.0,engagement_g05_d2.0,CLAIM_OWNERLESS,855,0.056814
8.0,engagement_g05_d2.0,KEEP_LOW_ENGAGEMENT,151,0.010034
8.0,engagement_g05_d2.0,KEEP_OWNERLESS_NO_CANDIDATE,857,0.056947
8.0,engagement_g05_d2.0,KEEP_SAME_TARGET,6613,0.439431
8.0,engagement_g05_d2.0,KEEP_TARGET_OUT_OF_RANGE,6145,0.408333
8.0,engagement_g05_d2.0,RELEASE_OUT_OF_RANGE,427,0.028374
8.0,engagement_g05_d2.0,TRANSFER_TARGET_CHANGE,1,0.000066
30.0,engagement_g05_d0.0,CLAIM_OWNERLESS,677,0.044986
30.0,engagement_g05_d0.0,KEEP_LOW_ENGAGEMENT,3040,0.202007
30.0,engagement_g05_d0.0,KEEP_OWNERLESS_NO_CANDIDATE,62,0.004120
30.0,engagement_g05_d0.0,KEEP_SAME_TARGET,5310,0.352847
30.0,engagement_g05_d0.0,KEEP_TARGET_OUT_OF_RANGE,5848,0.388597
30.0,engagement_g05_d0.0,RELEASE_OUT_OF_RANGE,38,0.002525
30.0,engagement_g05_d0.0,TRANSFER_TARGET_CHANGE,74,0.004917
30.0,engagement_g05_d2.0,CLAIM_OWNERLESS,687,0.045651
30.0,engagement_g05_d2.0,KEEP_DWELL_NOT_MET,79,0.005250
30.0,engagement_g05_d2.0,KEEP_LOW_ENGAGEMENT,3102,0.206127
30.0,engagement_g05_d2.0,KEEP_OWNERLESS_NO_CANDIDATE,62,0.004120
30.0,engagement_g05_d2.0,KEEP_SAME_TARGET,5177,0.344010
30.0,engagement_g05_d2.0,KEEP_TARGET_OUT_OF_RANGE,5849,0.388664
30.0,engagement_g05_d2.0,RELEASE_OUT_OF_RANGE,38,0.002525
30.0,engagement_g05_d2.0,TRANSFER_TARGET_CHANGE,55,0.003655
75.0,engagement_g05_d0.0,CLAIM_OWNERLESS,223,0.014818
75.0,engagement_g05_d0.0,KEEP_LOW_ENGAGEMENT,7690,0.510997
75.0,engagement_g05_d0.0,KEEP_SAME_TARGET,3427,0.227723
75.0,engagement_g05_d0.0,KEEP_TARGET_OUT_OF_RANGE,3540,0.235232
75.0,engagement_g05_d0.0,TRANSFER_TARGET_CHANGE,169,0.011230
75.0,engagement_g05_d2.0,CLAIM_OWNERLESS,243,0.016147
75.0,engagement_g05_d2.0,KEEP_DWELL_NOT_MET,174,0.011562
75.0,engagement_g05_d2.0,KEEP_LOW_ENGAGEMENT,7855,0.521962
75.0,engagement_g05_d2.0,KEEP_SAME_TARGET,3112,0.206791
75.0,engagement_g05_d2.0,KEEP_TARGET_OUT_OF_RANGE,3534,0.234833
75.0,engagement_g05_d2.0,TRANSFER_TARGET_CHANGE,131,0.008705
150.0,engagement_g05_d0.0,CLAIM_OWNERLESS,21,0.001395
150.0,engagement_g05_d0.0,KEEP_LOW_ENGAGEMENT,12112,0.804838
150.0,engagement_g05_d0.0,KEEP_SAME_TARGET,2531,0.168184
150.0,engagement_g05_d0.0,KEEP_TARGET_OUT_OF_RANGE,167,0.011097
150.0,engagement_g05_d0.0,TRANSFER_TARGET_CHANGE,218,0.014486
150.0,engagement_g05_d2.0,CLAIM_OWNERLESS,22,0.001462
150.0,engagement_g05_d2.0,KEEP_DWELL_NOT_MET,240,0.015948
150.0,engagement_g05_d2.0,KEEP_LOW_ENGAGEMENT,12355,0.820985
150.0,engagement_g05_d2.0,KEEP_SAME_TARGET,2101,0.139611
150.0,engagement_g05_d2.0,KEEP_TARGET_OUT_OF_RANGE,168,0.011164
150.0,engagement_g05_d2.0,TRANSFER_TARGET_CHANGE,163,0.010831
1000000000.0,engagement_g05_d0.0,KEEP_LOW_ENGAGEMENT,12420,0.825304
1000000000.0,engagement_g05_d0.0,KEEP_SAME_TARGET,2409,0.160077
1000000000.0,engagement_g05_d0.0,TRANSFER_TARGET_CHANGE,220,0.014619
1000000000.0,engagement_g05_d2.0,KEEP_DWELL_NOT_MET,242,0.016081
1000000000.0,engagement_g05_d2.0,KEEP_LOW_ENGAGEMENT,12700,0.843910
1000000000.0,engagement_g05_d2.0,KEEP_SAME_TARGET,1941,0.128979
1000000000.0,engagement_g05_d2.0,TRANSFER_TARGET_CHANGE,166,0.011031
