assignment,seed,policy_id,total_requests,mean_latency_ms,migration_count,request_imbalance,peak_window_imbalance
distinct,11,nearest,367,107.857744,3,3.433243,4.137931
distinct,11,follow_d0.0,367,27.905975,4,3.433243,4.137931
distinct,11,follow_d1.0,367,29.565302,3,3.378747,4.137931
distinct,12,static,388,103.583646,0,3.608247,4.126984
distinct,12,nearest,388,96.117824,3,3.608247,4.126984
distinct,12,follow_d0.0,388,31.769628,7,3.530928,4.126984
distinct,12,follow_d1.0,388,33.120810,3,3.402062,4.126984
distinct,13,static,399,114.316974,0,3.934837,4.722222
distinct,13,nearest,399,136.005274,1,6.040100,6.764706
distinct,13,follow_d0.0,399,27.277396,3,3.934837,4.722222
distinct,13,follow_d1.0,399,28.549415,3,3.984962,4.857143
distinct,14,static,373,82.916313,0,3.351206,4.509804
distinct,14,nearest,373,114.966800,2,6.675603,7.450980
distinct,14,follow_d0.0,373,32.829802,4,3.378016,4.509804
distinct,14,follow_d1.0,373,33.489824,2,3.351206,4.509804
distinct,15,static,363,85.835528,0,6.694215,7.230769
distinct,15,nearest,363,77.947148,3,3.415978,4.153846
distinct,15,follow_d0.0,363,29.995749,5,3.415978,4.153846
distinct,15,follow_d1.0,363,30.632399,3,3.388430,4.153846
distinct,16,static,391,120.236808,0,3.529412,4.210526
distinct,16,nearest,391,120.236808,0,3.529412,4.210526
distinct,16,follow_d0.0,391,34.745122,4,3.529412,4.210526
distinct,16,follow_d1.0,391,35.308455,2,3.529412,4.210526
distinct,17,static,371,42.482957,0,3.638814,5.178571
distinct,17,nearest,371,105.669297,3,3.611860,5.178571
distinct,17,follow_d0.0,371,18.311444,5,3.665768,5.178571
distinct,17,follow_d1.0,371,18.781654,3,3.746631,5.178571
distinct,18,static,348,93.572673,0,3.477011,4.800000
distinct,18,nearest,348,73.943047,3,3.448276,4.800000
distinct,18,follow_d0.0,348,36.617958,9,3.477011,4.800000
distinct,18,follow_d1.0,348,38.367918,3,3.477011,4.800000
distinct,19,static,392,144.518571,0,3.596939,4.218750
distinct,19,nearest,392,96.195085,3,3.571429,4.218750
distinct,19,follow_d0.0,392,28.085843,5,3.571429,4.218750
distinct,19,follow_d1.0,392,31.519202,3,3.494898,4.218750
distinct,20,static,393,83.019360,0,6.666667,7.352941
distinct,20,nearest,393,119.348642,3,3.384224,4.285714
distinct,20,follow_d0.0,393,31.417910,7,3.358779,4.285714
distinct,20,follow_d1.0,393,32.199322,2,3.511450,4.285714
distinct,21,static,360,120.938939,0,3.611111,5.000000
distinct,21,nearest,360,44.226638,3,3.583333,5.000000
distinct,21,follow_d0.0,360,22.390855,3,3.583333,5.000000
distinct,21,follow_d1.0,360,23.989716,3,3.527778,5.000000
distinct,22,static,313,74.929116,0,3.546326,4.166667
distinct,22,nearest,313,71.068139,2,3.546326,4.166667
distinct,22,follow_d0.0,313,19.979653,5,3.514377,4.166667
distinct,22,follow_d1.0,313,21.182483,3,3.450479,4.166667
distinct,23,static,361,100.811717,0,3.490305,4.509804
distinct,23,nearest,361,124.152673,3,6.454294,7.647059
distinct,23,follow_d0.0,361,34.612375,7,3.240997,4.509804
distinct,23,follow_d1.0,361,36.921347,5,3.157895,4.509804
distinct,24,static,349,86.820316,0,3.524355,4.210526
distinct,24,nearest,349,148.476760,3,3.495702,4.210526
distinct,24,follow_d0.0,349,28.443916,6,3.495702,4.210526
distinct,24,follow_d1.0,349,30.904249,2,3.467049,4.210526
distinct,25,static,336,124.769698,0,3.809524,5.227273
distinct,25,nearest,336,115.568856,3,3.779762,5.227273
distinct,25,follow_d0.0,336,29.367413,4,3.779762,5.227273
distinct,25,follow_d1.0,336,31.941922,3,3.750000,5.227273
distinct,26,static,328,80.840668,0,4.054878,5.000000
distinct,26,nearest,328,74.109552,2,7.042683,8.181818
distinct,26,follow_d0.0,328,25.319841,3,4.054878,5.000000
distinct,26,follow_d1.0,328,25.872904,2,4.054878,5.000000
distinct,27,static,354,81.803705,0,6.666667,7.200000
distinct,27,nearest,354,115.405153,3,6.892655,7.777778
distinct,27,follow_d0.0,354,32.018371,2,3.587571,3.888889
distinct,27,follow_d1.0,354,32.948913,2,3.531073,3.947368
distinct,28,static,342,95.159416,0,3.479532,4.444444
distinct,28,nearest,342,43.856130,5,3.450292,4.166667
distinct,28,follow_d0.0,342,33.388820,4,3.450292,4.166667
distinct,28,follow_d1.0,342,35.796140,2,3.391813,4.166667
distinct,29,static,366,118.578672,0,3.715847,4.603175
distinct,29,nearest,366,113.917170,3,3.688525,4.603175
distinct,29,follow_d0.0,366,29.537873,6,3.688525,4.603175
distinct,29,follow_d1.0,366,29.964052,3,3.661202,4.603175
distinct,30,static,388,59.986922,0,3.582474,4.696970
distinct,30,nearest,388,128.103259,3,6.958763,7.735849
distinct,30,follow_d0.0,388,24.113668,5,3.479381,4.528302
distinct,30,follow_d1.0,388,24.061789,3,3.556701,4.528302
shared,1,static,358,113.276362,0,3.407821,4.166667
shared,1,nearest,358,95.834942,3,3.379888,4.166667
shared,1,follow_d0.0,358,36.617128,3,9.832402,10.000000
shared,1,follow_d1.0,358,38.838168,2,9.692737,10.000000
shared,2,static,373,105.991066,0,7.158177,7.826087
shared,2,nearest,373,44.066946,3,7.104558,7.826087
shared,2,follow_d0.0,373,31.203442,5,9.839142,10.000000
shared,2,follow_d1.0,373,33.958595,3,9.356568,10.000000
shared,3,static,329,60.608493,0,3.617021,4.901961
shared,3,nearest,329,80.751136,3,3.586626,4.901961
shared,3,follow_d0.0,329,25.065714,4,9.878419,10.000000
shared,3,follow_d1.0,329,25.562641,3,9.696049,10.000000
shared,4,static,348,100.067890,0,6.408046,7.894737
shared,4,nearest,348,69.402594,3,3.563218,4.655172
shared,4,follow_d0.0,348,23.758254,4,9.856322,10.000000
shared,4,follow_d1.0,348,26.401904,3,9.597701,10.000000
shared,5,static,376,116.546282,0,3.617021,4.137931
shared,5,nearest,376,97.188457,2,6.675532,7.230769
shared,5,follow_d0.0,376,29.778565,6,9.867021,10.000000
shared,5,follow_d1.0,376,34.076216,3,9.494681,10.000000
shared,6,static,356,116.463175,0,3.398876,4.137931
shared,6,nearest,356,53.086451,3,6.544944,7.241379
shared,6,follow_d0.0,356,32.917269,4,9.887640,10.000000
shared,6,follow_d1.0,356,34.614126,3,9.662921,10.000000
shared,7,static,375,76.490685,0,3.546667,4.285714
shared,7,nearest,375,138.232677,3,3.520000,4.285714
shared,7,follow_d0.0,375,32.291297,4,9.893333,10.000000
shared,7,follow_d1.0,375,34.029355,3,9.546667,10.000000
shared,8,static,378,94.467658,0,3.624339,4.600000
shared,8,nearest,378,100.955028,3,3.597884,4.600000
shared,8,follow_d0.0,378,34.298836,8,9.814815,10.000000
shared,8,follow_d1.0,378,34.913247,3,9.629630,10.000000
shared,9,static,366,99.279821,0,3.661202,4.642857
shared,9,nearest,366,117.968131,2,6.885246,7.321429
shared,9,follow_d0.0,366,34.631763,5,9.726776,10.000000
shared,9,follow_d1.0,366,37.936483,4,9.453552,10.000000
shared,10,static,369,74.838103,0,3.550136,4.576271
shared,10,nearest,369,101.744931,3,3.523035,4.576271
shared,10,follow_d0.0,369,26.367198,6,9.783198,10.000000
shared,10,follow_d1.0,369,27.334549,3,9.566396,10.000000
shared,11,static,367,94.645755,0,3.460490,4.137931
shared,11,nearest,367,117.064990,3,3.433243,4.137931
shared,11,follow_d0.0,367,22.176362,6,9.836512,10.000000
shared,11,follow_d1.0,367,22.500577,3,9.645777,10.000000
shared,12,static,388,111.744451,0,3.608247,4.126984
shared,12,nearest,388,99.803794,3,3.608247,4.126984
shared,12,follow_d0.0,388,30.836922,7,9.819588,10.000000
shared,12,follow_d1.0,388,31.854870,3,9.613402,10.000000
shared,13,static,399,91.062760,0,3.934837,4.722222
shared,13,nearest,399,128.363623,1,6.040100,6.764706
shared,13,follow_d0.0,399,27.569201,4,9.924812,10.000000
shared,13,follow_d1.0,399,28.591535,2,9.849624,10.000000
shared,14,static,373,72.747902,0,3.351206,4.509804
shared,14,nearest,373,99.024850,2,6.675603,7.450980
shared,14,follow_d0.0,373,29.057164,5,9.892761,10.000000
shared,14,follow_d1.0,373,29.976848,3,9.624665,10.000000
shared,15,static,363,73.780643,0,6.694215,7.230769
shared,15,nearest,363,70.039029,3,3.415978,4.153846
shared,15,follow_d0.0,363,25.935588,5,9.889807,10.000000
shared,15,follow_d1.0,363,26.440029,3,9.696970,10.000000
shared,16,static,391,77.634095,0,3.529412,4.210526
shared,16,nearest,391,77.634095,0,3.529412,4.210526
shared,16,follow_d0.0,391,33.489702,2,9.948849,10.000000
shared,16,follow_d1.0,391,34.072989,2,9.744246,10.000000
shared,17,static,371,48.539657,0,3.638814,5.178571
shared,17,nearest,371,69.126111,3,3.611860,5.178571
shared,17,follow_d0.0,371,19.028139,2,9.946092,10.000000
shared,17,follow_d1.0,371,19.401861,2,9.865229,10.000000
shared,18,static,348,74.230008,0,3.477011,4.800000
shared,18,nearest,348,113.020135,3,3.448276,4.800000
shared,18,follow_d0.0,348,40.035388,6,9.827586,10.000000
shared,18,follow_d1.0,348,40.366448,2,9.655172,10.000000
shared,19,static,392,90.333087,0,3.596939,4.218750
shared,19,nearest,392,95.861836,3,3.571429,4.218750
shared,19,follow_d0.0,392,32.347684,5,9.821429,10.000000
shared,19,follow_d1.0,392,33.843824,3,9.642857,10.000000
shared,20,static,393,100.070153,0,6.666667,7.352941
shared,20,nearest,393,93.813308,3,3.384224,4.285714
shared,20,follow_d0.0,393,33.186905,5,9.872774,10.000000
shared,20,follow_d1.0,393,34.594913,3,9.618321,10.000000
shared,21,static,360,88.230226,0,3.611111,5.000000
shared,21,nearest,360,84.665356,3,3.583333,5.000000
shared,21,follow_d0.0,360,28.392072,3,9.916667,10.000000
shared,21,follow_d1.0,360,29.838769,3,9.722222,10.000000
shared,22,static,313,88.353480,0,3.546326,4.166667
shared,22,nearest,313,93.118692,2,3.546326,4.166667
shared,22,follow_d0.0,313,23.456556,5,9.776358,10.000000
shared,22,follow_d1.0,313,25.352358,3,9.488818,10.000000
shared,23,static,361,51.914397,0,3.490305,4.509804
shared,23,nearest,361,110.001718,3,6.454294,7.647059
shared,23,follow_d0.0,361,30.723704,7,9.639889,10.000000
shared,23,follow_d1.0,361,32.460699,4,9.390582,10.000000
shared,24,static,349,106.077109,0,3.524355,4.210526
shared,24,nearest,349,120.485813,3,3.495702,4.210526
shared,24,follow_d0.0,349,32.006543,3,9.914040,10.000000
shared,24,follow_d1.0,349,32.880816,3,9.799427,10.000000
shared,25,static,336,106.022030,0,3.809524,5.227273
shared,25,nearest,336,108.612754,3,3.779762,5.227273
shared,25,follow_d0.0,336,34.241153,6,9.851190,10.000000
shared,25,follow_d1.0,336,36.812146,3,9.553571,10.000000
shared,26,static,328,148.406689,0,4.054878,5.000000
shared,26,nearest,328,115.883706,2,7.042683,8.181818
shared,26,follow_d0.0,328,31.099496,6,9.817073,10.000000
shared,26,follow_d1.0,328,33.999519,3,9.481707,10.000000
shared,27,static,354,117.304262,0,6.666667,7.200000
shared,27,nearest,354,122.493901,3,6.892655,7.777778
shared,27,follow_d0.0,354,32.918277,3,9.915254,10.000000
shared,27,follow_d1.0,354,34.541476,3,9.745763,10.000000
shared,28,static,342,143.512954,0,3.479532,4.444444
shared,28,nearest,342,69.272570,5,3.450292,4.166667
shared,28,follow_d0.0,342,35.930863,5,9.883041,10.000000
shared,28,follow_d1.0,342,39.258905,3,9.590643,10.000000
shared,29,static,366,89.699315,0,3.715847,4.603175
shared,29,nearest,366,54.364143,3,3.688525,4.603175
shared,29,follow_d0.0,366,20.687685,6,9.836066,10.000000
shared,29,follow_d1.0,366,21.355367,3,9.617486,10.000000
shared,30,static,388,113.649727,0,3.582474,4.696970
shared,30,nearest,388,80.444145,3,6.958763,7.735849
shared,30,follow_d0.0,388,25.705988,7,9.819588,10.000000
shared,30,follow_d1.0,388,26.584166,3,9.613402,10.000000
